date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease,anthing
3/1/2021,ND,1475,,3,,3871,3871,25,4,565,3,305019,68,,,,,,99852,94623,43,0,,,,,,97836,1410827,1212,1410827,1212,,144401,,,404871,111,1516683,1648,
3/1/2021,NE,2082,,0,,6106,6106,158,4,,,764460,456,,,2137624,,,200946,,98,0,,,,,233457,155333,,0,2373731,2529,,,,,965935,556,2373731,2529,
3/1/2021,NH,1170,,0,,1118,1118,90,0,345,,575922,-681,,,,,,75588,53204,164,0,,,,,,72055,,0,1461579,2829,39325,194993,37723,,629126,-563,1461579,2829,
3/1/2021,NJ,23273,20942,21,2331,63777,63777,1865,64,,387,9868082,0,,,,,226,792496,704362,3140,0,,,,,,,,0,10660578,3140,,,,,,0,10567646,0,
3/1/2021,NM,3729,,13,,13127,13127,186,19,,,,0,,,,,,185297,,165,0,,,,,,147446,,0,2699792,6331,,,,,,0,2699792,6331,
3/1/2021,NV,4957,,0,,,,464,0,,105,1119425,2196,,,,,56,293980,293980,226,0,,,,,,,2725701,6482,2725701,6482,,,,,1413405,2422,,0,
3/1/2021,NY,38577,,80,,,,5307,0,,1065,,0,,,,,741,1636680,,6235,0,,,,,,,38281073,174158,38281073,174158,,,,,,0,,0,
3/1/2021,OH,17346,14752,49,2594,50382,50382,1181,103,7148,295,,0,,,,,224,968847,830282,1425,0,,84593,,,858743,911474,,0,10056602,26079,,1700473,,,,0,10056602,26079,
3/1/2021,OK,4478,,50,,23995,23995,484,10,,150,3084829,0,,,3084829,,,424888,,380,0,21760,,,,386563,407665,,0,3509717,380,148204,,,,,0,3483450,12058,
3/1/2021,OR,2208,,0,,8570,8570,177,0,,35,,0,,,3361555,,16,155597,,282,0,,,,,202565,,,0,3564120,0,,,,,,0,3564120,0,
3/1/2021,PA,24026,,5,,,,1715,0,,366,3889842,5256,,,,,203,933270,803009,1628,0,,,,,,849275,10443158,64369,10443158,64369,,,,,4692851,6520,,0,
3/1/2021,PR,2037,1733,1,304,,,155,0,,23,305972,0,,,395291,,23,100584,92708,287,0,82090,,,,20103,90891,,0,406556,287,,,,,,0,415664,0,
3/1/2021,RI,2517,,3,,8947,8947,162,47,,28,669132,690,,,2860484,,18,126588,,152,0,,,,,150827,,3011311,5788,3011311,5788,,,,,795720,842,,0,
3/1/2021,SC,8562,7592,32,970,20406,20406,725,19,,194,4535334,24419,105661,,4406533,,88,517976,444991,1153,0,27409,108193,,,573792,230793,,0,5053310,25572,133070,867036,,,,0,4980325,25203,
3/1/2021,SD,1888,,0,,6632,6632,92,6,,15,310347,225,,,,,7,112470,99873,43,0,,,,,105054,108664,,0,692321,629,,,,,422817,268,692321,629,
3/1/2021,TN,11421,9181,10,2240,18620,18620,1009,15,,257,,0,,,6040778,,127,775693,649664,689,0,,137917,,,749192,750755,,0,6789970,9109,,1372301,,,,0,6789970,9109,
3/1/2021,TX,42995,,59,,,,5611,0,,1747,,0,,,,,,2647845,2292097,3821,0,153078,199506,,,2604373,2429453,,0,19595211,37529,1016619,2481635,,,,0,19595211,37529,
